name,lon,lat,region,vs30,SDC,risk_target,ratio_Dmax,ratio_Dmin,frer_ratio_sds,frer_ratio_sd1,Sdsfr,Sd1fr,s1,sds,sd1
Long Beach,-118.2,33.8,so cal,265,E,0.15,1,5.25,0.612375634043121,0.454522320003413,0.80833583693692,0.477248436003583,0.75,1.32,1.05
Oakland,-122.25,37.8,norcal,265,D,0.15,0.96,5.65,0.831008338718383,0.596994374300715,1.12186125726982,0.674603642959808,0.72,1.35,1.13
San Mateo,-122.3,37.55,norcal,265,E,0.15,1.08,7.65,0.694227688025119,0.39971212595812,0.992745593875921,0.611559552715923,0.81,1.43,1.53
Los Angeles,-118.25,34.05,so cal,265,D,0.2,0.96,5.55,0.527806963548491,0.392683210650422,0.802266584593707,0.435878363821968,0.72,1.52,1.11
Northridge,-118.55,34.2,so cal,265,D,0.2,0.933333333333333,5.5,0.651227494853944,0.430115946565977,0.898693942898442,0.473127541222575,0.7,1.38,1.1
Long Beach,-118.2,33.8,so cal,265,E,0.2,1,5.25,0.521406465427861,0.378455225736931,0.688256534364776,0.397377987023778,0.75,1.32,1.05
Oakland,-122.25,37.8,norcal,265,D,0.2,0.96,5.65,0.706542515232733,0.493209847863679,0.95383239556419,0.557327128085957,0.72,1.35,1.13
San Mateo,-122.3,37.55,norcal,265,E,0.2,1.08,7.65,0.587535608079537,0.32641155859449,0.840175919553738,0.49940968464957,0.81,1.43,1.53
Los Angeles,-118.25,34.05,so cal,265,D,0.25,0.96,5.55,0.460528584202062,0.335515635636279,0.700003447987134,0.372422355556269,0.72,1.52,1.11
Northridge,-118.55,34.2,so cal,265,D,0.25,0.933333333333333,5.5,0.571593471538342,0.368900194420291,0.788798990722912,0.405790213862321,0.7,1.38,1.1
Long Beach,-118.2,33.8,so cal,265,E,0.25,1,5.25,0.456834914726846,0.325431950246181,0.603022087439437,0.34170354775849,0.75,1.32,1.05
Oakland,-122.25,37.8,norcal,265,D,0.25,0.96,5.65,0.616104919439076,0.419833914771004,0.831741641242753,0.474412323691234,0.72,1.35,1.13
San Mateo,-122.3,37.55,norcal,265,E,0.25,1.08,7.65,0.510822791908291,0.27566611479361,0.730476592428856,0.421769155634223,0.81,1.43,1.53
Los Angeles,-118.25,34.05,so cal,265,D,0.3,0.96,5.55,0.409477893912615,0.292589075676159,0.622406398747175,0.324773874000537,0.72,1.52,1.11
Northridge,-118.55,34.2,so cal,265,D,0.3,0.933333333333333,5.5,0.509387105300878,0.322359808078126,0.702954205315212,0.354595788885938,0.7,1.38,1.1
Long Beach,-118.2,33.8,so cal,265,E,0.3,1,5.25,0.406899274462961,0.2855799263518,0.537107042291109,0.29985892266939,0.75,1.32,1.05
Oakland,-122.25,37.8,norcal,265,D,0.3,0.96,5.65,0.545791092039559,0.364176294526676,0.736817974253405,0.411519212815144,0.72,1.35,1.13
San Mateo,-122.3,37.55,norcal,265,E,0.3,1.08,7.65,0.451704966104515,0.23786912238594,0.645938101529457,0.363939757250488,0.81,1.43,1.53
Los Angeles,-118.25,34.05,so cal,265,D,0.5,0.96,5.55,0.277398927860441,0.187321404508283,0.421646370347871,0.207926759004194,0.72,1.52,1.11
Northridge,-118.55,34.2,so cal,265,D,0.5,0.933333333333333,5.5,0.345427756849571,0.206262436884921,0.476690304452408,0.226888680573413,0.7,1.38,1.1
Long Beach,-118.2,33.8,so cal,265,E,0.5,1,5.25,0.277490173880053,0.187053655814632,0.36628702952167,0.196406338605363,0.75,1.32,1.05
Oakland,-122.25,37.8,norcal,265,D,0.5,0.96,5.65,0.363814037451158,0.226225085390667,0.491148950559064,0.255634346491454,0.72,1.35,1.13
San Mateo,-122.3,37.55,norcal,265,E,0.5,1.08,7.65,0.301417031838356,0.146999007368742,0.431026355528849,0.224908481274176,0.81,1.43,1.53
